HBName,DailyPositive,CumulativePositive,datevar,rna_value,weekday,day,NHS_Borders,NHS_Dumfries_and_Galloway,NHS_Fife,NHS_Forth_Valley,NHS_Grampian,NHS_Greater_Glasgow_and_Clyde,NHS_Highland,NHS_Lanarkshire,NHS_Lothian,NHS_Orkney,NHS_Shetland,NHS_Tayside,NHS_Western_Isles
NHS Ayrshire and Arran,1,1291,08-Aug-20,0,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,0,341,08-Aug-20,40530.73796,7,Sat,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,0,308,08-Aug-20,72946.38623,7,Sat,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,2,961,08-Aug-20,115499,7,Sat,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,0,1104,08-Aug-20,184674.9417,7,Sat,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,23,1687,08-Aug-20,166173.0655,7,Sat,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1,5072,08-Aug-20,46868.12344,7,Sat,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,0,391,08-Aug-20,71224.27232,7,Sat,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,0,2805,08-Aug-20,59069.6181,7,Sat,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,0,3225,08-Aug-20,67380,7,Sat,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,9,08-Aug-20,182603.5451,7,Sat,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,55,08-Aug-20,84778,7,Sat,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,0,1808,08-Aug-20,15262,7,Sat,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,08-Aug-20,85966,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,0,1291,09-Aug-20,0,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,0,341,09-Aug-20,40530.73796,1,Sun,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,0,308,09-Aug-20,72946.38623,1,Sun,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,0,961,09-Aug-20,0,1,Sun,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,0,1104,09-Aug-20,184674.9417,1,Sun,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,18,1705,09-Aug-20,166173.0655,1,Sun,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,4,5076,09-Aug-20,46868.12344,1,Sun,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,0,391,09-Aug-20,71224.27232,1,Sun,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,0,2805,09-Aug-20,59069.6181,1,Sun,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,2,3227,09-Aug-20,67380,1,Sun,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,9,09-Aug-20,182603.5451,1,Sun,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,1,56,09-Aug-20,84778,1,Sun,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,1,1809,09-Aug-20,15262,1,Sun,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,09-Aug-20,85966,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,2,1293,10-Aug-20,0,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,2,343,10-Aug-20,40530.73796,2,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,0,308,10-Aug-20,72946.38623,2,Mon,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,0,961,10-Aug-20,24826.30916,2,Mon,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,1,1105,10-Aug-20,184674.9417,2,Mon,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,26,1731,10-Aug-20,26358,2,Mon,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,16,5092,10-Aug-20,2352,2,Mon,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,1,392,10-Aug-20,0,2,Mon,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,2,2807,10-Aug-20,0,2,Mon,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,3,3230,10-Aug-20,67380,2,Mon,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,1,10,10-Aug-20,182603.5451,2,Mon,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,56,10-Aug-20,84778,2,Mon,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,4,1813,10-Aug-20,15262,2,Mon,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,10-Aug-20,85966,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,1,1294,11-Aug-20,0,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,0,343,11-Aug-20,40530.73796,3,Tue,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,0,308,11-Aug-20,72946.38623,3,Tue,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,1,962,11-Aug-20,24826.30916,3,Tue,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,2,1107,11-Aug-20,184674.9417,3,Tue,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,32,1763,11-Aug-20,10152,3,Tue,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,13,5105,11-Aug-20,658,3,Tue,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,1,393,11-Aug-20,0,3,Tue,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,5,2812,11-Aug-20,0,3,Tue,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,4,3234,11-Aug-20,67380,3,Tue,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,2,12,11-Aug-20,182603.5451,3,Tue,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,56,11-Aug-20,84778,3,Tue,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,4,1817,11-Aug-20,15262,3,Tue,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,11-Aug-20,85966,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,1,1295,12-Aug-20,0,4,Wed,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,0,343,12-Aug-20,40530.73796,4,Wed,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,0,308,12-Aug-20,72946.38623,4,Wed,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,2,964,12-Aug-20,24826.30916,4,Wed,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,0,1107,12-Aug-20,184674.9417,4,Wed,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,26,1789,12-Aug-20,10152,4,Wed,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,9,5114,12-Aug-20,658,4,Wed,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,0,393,12-Aug-20,0,4,Wed,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,1,2813,12-Aug-20,0,4,Wed,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,4,3238,12-Aug-20,67380,4,Wed,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,2,14,12-Aug-20,5820,4,Wed,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,56,12-Aug-20,84778,4,Wed,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,3,1820,12-Aug-20,15262,4,Wed,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,12-Aug-20,85966,4,Wed,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,0,1295,13-Aug-20,0,5,Thu,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,0,343,13-Aug-20,40530.73796,5,Thu,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,0,308,13-Aug-20,0,5,Thu,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,4,968,13-Aug-20,24826.30916,5,Thu,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,1,1108,13-Aug-20,184674.9417,5,Thu,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,19,1808,13-Aug-20,10098,5,Thu,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,9,5123,13-Aug-20,658,5,Thu,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,0,393,13-Aug-20,0,5,Thu,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,10,2823,13-Aug-20,0,5,Thu,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,2,3240,13-Aug-20,67380,5,Thu,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,1,15,13-Aug-20,5820,5,Thu,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,56,13-Aug-20,84778,5,Thu,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,7,1827,13-Aug-20,15262,5,Thu,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,13-Aug-20,85966,5,Thu,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,2,1297,14-Aug-20,0,6,Fri,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,0,343,14-Aug-20,0,6,Fri,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,0,308,14-Aug-20,0,6,Fri,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,2,970,14-Aug-20,0,6,Fri,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,2,1110,14-Aug-20,0,6,Fri,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,22,1830,14-Aug-20,12253,6,Fri,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,6,5129,14-Aug-20,658,6,Fri,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,2,395,14-Aug-20,581.0211155,6,Fri,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,8,2831,14-Aug-20,0,6,Fri,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,2,3242,14-Aug-20,67380,6,Fri,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,1,16,14-Aug-20,5820,6,Fri,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,0,56,14-Aug-20,84778,6,Fri,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,4,1831,14-Aug-20,15262,6,Fri,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,0,7,14-Aug-20,85966,6,Fri,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,1,1298,15-Aug-20,0,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,0,343,15-Aug-20,0,7,Sat,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,1,309,15-Aug-20,0,7,Sat,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,2,972,15-Aug-20,0,7,Sat,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,0,1110,15-Aug-20,0,7,Sat,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,8,1838,15-Aug-20,12253,7,Sat,0,0,0,0,1,0,0,0,0,0,0,0,0
