Country,Date,DailyCases,CumulativeCases
S92000003,20200301,2,3
S92000003,20200302,1,4
S92000003,20200303,3,7
S92000003,20200304,6,13
S92000003,20200305,2,15
S92000003,20200306,6,21
S92000003,20200307,6,27
S92000003,20200308,3,30
S92000003,20200309,16,46
S92000003,20200310,21,67
S92000003,20200311,25,92
S92000003,20200312,38,130
S92000003,20200313,48,178
S92000003,20200314,19,197
S92000003,20200315,12,209
S92000003,20200316,21,230
S92000003,20200317,43,273
S92000003,20200318,41,314
S92000003,20200319,50,364
S92000003,20200320,84,448
S92000003,20200321,67,515
S92000003,20200322,74,589
S92000003,20200323,138,727
S92000003,20200324,167,894
S92000003,20200325,188,1082
S92000003,20200326,223,1305
S92000003,20200327,274,1579
S92000003,20200328,204,1783
S92000003,20200329,197,1980
S92000003,20200330,317,2297
S92000003,20200331,341,2638
S92000003,20200401,389,3027
S92000003,20200402,351,3378
S92000003,20200403,381,3759
S92000003,20200404,261,4020
S92000003,20200405,225,4245
S92000003,20200406,404,4649
S92000003,20200407,352,5001
S92000003,20200408,343,5344
S92000003,20200409,304,5648
S92000003,20200410,329,5977
S92000003,20200411,185,6162
S92000003,20200412,220,6382
S92000003,20200413,359,6741
S92000003,20200414,346,7087
S92000003,20200415,331,7418
S92000003,20200416,428,7846
S92000003,20200417,394,8240
S92000003,20200418,264,8504
S92000003,20200419,159,8663
S92000003,20200420,348,9011
S92000003,20200421,400,9411
S92000003,20200422,340,9751
S92000003,20200423,314,10065
S92000003,20200424,306,10371
S92000003,20200425,184,10555
S92000003,20200426,171,10726
S92000003,20200427,434,11160
S92000003,20200428,383,11543
S92000003,20200429,431,11974
S92000003,20200430,337,12311
S92000003,20200501,375,12686
S92000003,20200502,222,12908
S92000003,20200503,188,13096
S92000003,20200504,329,13425
S92000003,20200505,288,13713
S92000003,20200506,307,14020
S92000003,20200507,297,14317
S92000003,20200508,258,14575
S92000003,20200509,180,14755
S92000003,20200510,153,14908
S92000003,20200511,265,15173
S92000003,20200512,230,15403
S92000003,20200513,198,15601
S92000003,20200514,211,15812
S92000003,20200515,151,15963
S92000003,20200516,103,16066
S92000003,20200517,93,16159
S92000003,20200518,141,16300
S92000003,20200519,182,16482
S92000003,20200520,121,16603
S92000003,20200521,111,16714
S92000003,20200522,91,16805
S92000003,20200523,50,16855
S92000003,20200524,53,16908
S92000003,20200525,96,17004
S92000003,20200526,478,17482
S92000003,20200527,66,17548
S92000003,20200528,55,17603
S92000003,20200529,30,17633
S92000003,20200530,40,17673
S92000003,20200531,23,17696
S92000003,20200601,38,17734
S92000003,20200602,46,17780
S92000003,20200603,34,17814
S92000003,20200604,35,17849
S92000003,20200605,24,17873
S92000003,20200606,22,17895
S92000003,20200607,17,17912
S92000003,20200608,18,17930
S92000003,20200609,27,17957
S92000003,20200610,29,17986
S92000003,20200611,22,18008
S92000003,20200612,30,18038
S92000003,20200613,22,18060
S92000003,20200614,13,18073
S92000003,20200615,21,18094
S92000003,20200616,17,18111
S92000003,20200617,33,18144
S92000003,20200618,14,18158
S92000003,20200619,24,18182
S92000003,20200620,6,18188
S92000003,20200621,9,18197
S92000003,20200622,10,18207
S92000003,20200623,20,18227
S92000003,20200624,8,18235
S92000003,20200625,19,18254
S92000003,20200626,6,18260
S92000003,20200627,4,18264
S92000003,20200628,3,18267
S92000003,20200629,14,18281
S92000003,20200630,8,18289
S92000003,20200701,11,18300
S92000003,20200702,13,18313
S92000003,20200703,7,18320
S92000003,20200704,5,18325
S92000003,20200705,2,18327
S92000003,20200706,8,18335
S92000003,20200707,11,18346
S92000003,20200708,10,18356
S92000003,20200709,8,18364
S92000003,20200710,12,18376
